# x y z min_distance
-10.6089000000 -0.0000510000 -6.0750100000 2.2769186720
-4.2661300000 -0.3067790000 -5.9993700000 2.1127865409
2.1983400000 -0.0000510000 -6.0750100000 2.2769179380
8.5411100000 -0.3067790000 -5.9993700000 2.1127870638
15.0056000000 -0.0000510000 -6.0750100000 2.2768972000
21.3484000000 -0.3067790000 -5.9993700000 2.1128232086
27.8128000000 -0.0000510000 -6.0750100000 2.2769364700
34.1556000000 -0.3067790000 -5.9993700000 2.1127952328
-10.6089000000 -0.0000510000 -2.0250000000 2.2769186720
-4.2052800000 -0.0000510000 -2.0250000000 2.2769183050
2.1983400000 -0.0000510000 -2.0250000000 2.2769179380
8.6019600000 -0.0000510000 -2.0250000000 2.2769175700
15.0056000000 -0.0000510000 -2.0250000000 2.2768972000
21.4092000000 -0.0000510000 -2.0250000000 2.2769168400
27.8128000000 -0.0000510000 -2.0250000000 2.2769364700
34.2164000000 -0.0000510000 -2.0250000000 2.2769561000
-10.6089000000 -0.0000510000 2.0250000000 2.2769186720
-4.2052800000 -0.0000510000 2.0250000000 2.2769183050
2.1983400000 -0.0000510000 2.0250000000 2.2769179380
8.6019600000 -0.0000510000 2.0250000000 2.2769175700
15.0056000000 -0.0000510000 2.0250000000 2.2768972000
21.4092000000 -0.0000510000 2.0250000000 2.2769168400
27.8128000000 -0.0000510000 2.0250000000 2.2769364700
34.2164000000 -0.0000510000 2.0250000000 2.2769561000
-10.6089000000 -0.0000510000 6.0750100000 2.2769186720
-4.2052800000 -0.0000510000 6.0750100000 2.2769183050
2.1983400000 -0.0000510000 6.0750100000 2.2769179380
8.6019600000 -0.0000510000 6.0750100000 2.2769175700
15.0056000000 -0.0000510000 6.0750100000 2.2768972000
21.4092000000 -0.0000510000 6.0750100000 2.2769168400
27.8128000000 -0.0000510000 6.0750100000 2.2769364700
34.2164000000 -0.0000510000 6.0750100000 2.2769561000
-10.6089000000 -0.0000510000 10.1250000000 2.2769186720
-4.2052800000 -0.0000510000 10.1250000000 2.2769183050
2.1983400000 -0.0000510000 10.1250000000 2.2769179380
8.6019600000 -0.0000510000 10.1250000000 2.2769175700
15.0056000000 -0.0000510000 10.1250000000 2.2768972000
21.4092000000 -0.0000510000 10.1250000000 2.2769168400
27.8128000000 -0.0000510000 10.1250000000 2.2769364700
34.2164000000 -0.0000510000 10.1250000000 2.2769561000
-4.2128100000 0.3450180000 14.0213000000 2.1290944201
8.5944300000 0.3450180000 14.0213000000 2.1290949581
21.4017000000 0.3450180000 14.0213000000 2.1291174563
34.2089000000 0.3450180000 14.0213000000 2.1290887115
